Elaboracion,Periodo,Pais,Negocio,Concepto,Clasificación,Cohort_Act,Valor,Escenario 
08-01-2025,05-01-2025,CL,PYME,Fund Rate,,,0.00700920115,Moderado
08-01-2025,05-01-2025,CL,PYME,Fund Rate,Recurrencia,,0.00701872936,Moderado
08-01-2025,05-01-2025,CL,PYME,Fund Rate,Activacion,,0.00692360173,Moderado
08-01-2025,05-01-2025,CL,PYME,Fund Rate,Recurrencia,<2024,0.00705825089,Moderado
08-01-2025,05-01-2025,CL,PYME,Fund Rate,Recurrencia,2024,0.00699665114,Moderado
08-01-2025,05-01-2025,CL,PYME,Fund Rate,Recurrencia,2025,0.00700506630,Moderado
08-01-2025,05-01-2025,CL,PYME,Spread,,,0.01110160290,Moderado
08-01-2025,05-01-2025,CL,PYME,Spread,Recurrencia,,0.01103554261,Moderado
08-01-2025,05-01-2025,CL,PYME,Spread,Activacion,,0.01169507453,Moderado
08-01-2025,05-01-2025,CL,PYME,Spread,Recurrencia,<2024,0.01028596373,Moderado
08-01-2025,05-01-2025,CL,PYME,Spread,Recurrencia,2024,0.01061591800,Moderado
08-01-2025,05-01-2025,CL,PYME,Spread,Recurrencia,2025,0.01328425520,Moderado
08-01-2025,05-01-2025,CL,PYME,NTR,,,0.01552648922,Moderado
08-01-2025,05-01-2025,CL,PYME,NTR,Recurrencia,,0.01513877353,Moderado
08-01-2025,05-01-2025,CL,PYME,NTR,Activacion,,0.01983218640,Moderado
08-01-2025,05-01-2025,CL,PYME,NTR,Recurrencia,<2024,0.01415266329,Moderado
08-01-2025,05-01-2025,CL,PYME,NTR,Recurrencia,2024,0.01458281634,Moderado
08-01-2025,05-01-2025,CL,PYME,NTR,Recurrencia,2025,0.01807563911,Moderado
08-01-2025,05-01-2025,CL,PYME,Risk Rate,,,0.00245908917,Moderado
08-01-2025,05-01-2025,CL,PYME,Risk Rate,Recurrencia,,0.00243773278,Moderado
08-01-2025,05-01-2025,CL,PYME,Risk Rate,Activacion,,0.00265095038,Moderado
08-01-2025,05-01-2025,CL,PYME,Risk Rate,Recurrencia,<2024,0.00206330602,Moderado
08-01-2025,05-01-2025,CL,PYME,Risk Rate,Recurrencia,2024,0.00257688589,Moderado
08-01-2025,05-01-2025,CL,PYME,Risk Rate,Recurrencia,2025,0.00273333481,Moderado
08-01-2025,05-01-2025,CL,PYME,Interest Revenue,Activacion,,"114,897,938.18867800000",Moderado
08-01-2025,05-01-2025,CL,PYME,Interest Revenue,Recurrencia,<2024,"318,408,656.38171300000",Moderado
08-01-2025,05-01-2025,CL,PYME,Interest Revenue,Recurrencia,2024,"449,826,610.96099000000",Moderado
08-01-2025,05-01-2025,CL,PYME,Interest Revenue,Recurrencia,2025,"211,316,209.30888000000",Moderado
08-01-2025,05-01-2025,CL,PYME,AD Revenue,Activacion,,"27,930,674.50828020000",Moderado
08-01-2025,05-01-2025,CL,PYME,AD Revenue,Recurrencia,<2024,"77,637,726.12226440000",Moderado
08-01-2025,05-01-2025,CL,PYME,AD Revenue,Recurrencia,2024,"121,188,732.31038900000",Moderado
08-01-2025,05-01-2025,CL,PYME,AD Revenue,Recurrencia,2025,"65,867,041.63026440000",Moderado
08-01-2025,05-01-2025,CL,PYME,Gross Revenue,Activacion,,"142,828,612.69695900000",Moderado
08-01-2025,05-01-2025,CL,PYME,Gross Revenue,Recurrencia,<2024,"396,046,382.50397700000",Moderado
08-01-2025,05-01-2025,CL,PYME,Gross Revenue,Recurrencia,2024,"571,015,343.27137900000",Moderado
08-01-2025,05-01-2025,CL,PYME,Gross Revenue,Recurrencia,2025,"277,183,250.93914500000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Fund,Activacion,,"53,112,714.14678830000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Fund,Recurrencia,<2024,"161,171,594.88956900000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Fund,Recurrencia,2024,"226,837,727.21588800000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Fund,Recurrencia,2025,"95,699,949.87912340000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Risk,Activacion,,"20,336,116.28362330000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Risk,Recurrencia,<2024,"47,114,551.09379660000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Risk,Recurrencia,2024,"83,544,959.88689900000",Moderado
08-01-2025,05-01-2025,CL,PYME,Cost of Risk,Recurrencia,2025,"37,341,545.78151670000",Moderado
08-01-2025,05-01-2025,CL,PYME,Margen Financiero,Activacion,,"89,715,898.55017030000",Moderado
08-01-2025,05-01-2025,CL,PYME,Margen Financiero,Recurrencia,<2024,"234,874,787.61440800000",Moderado
08-01-2025,05-01-2025,CL,PYME,Margen Financiero,Recurrencia,2024,"344,177,616.05548900000",Moderado
08-01-2025,05-01-2025,CL,PYME,Margen Financiero,Recurrencia,2025,"181,483,301.06002200000",Moderado
08-01-2025,05-01-2025,CL,PYME,Resultado Comercial,Activacion,,"69,379,782.26654700000",Moderado
08-01-2025,05-01-2025,CL,PYME,Resultado Comercial,Recurrencia,<2024,"187,760,236.52061100000",Moderado
08-01-2025,05-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2024,"260,626,000.25908000000",Moderado
08-01-2025,05-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2025,"144,141,755.27850500000",Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Active,<2024,867.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Active,2024,"1,396.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Active,2025,"1,402.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,New Active,,292.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Old Active,<2024,867.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Old Active,2024,"1,396.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Old Active,2025,"1,110.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Old Operados,<2024,625.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Old Operados,2024,919.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Old Operados,2025,602.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,% OldOp/OldActive,<2024,0.72087658593,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2024,0.65830945559,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2025,0.54234234234,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Total Operados,<2024,625.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Total Operados,2024,919.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Clientes,Total Operados,2025,894.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto,<2024,122.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto,2024,275.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto,2025,289.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Acum.,<2024,"6,769.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2024,"3,163.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2025,748.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Act,,98.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Rec,<2024,122.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Rec,2024,275.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Bruto Rec,2025,191.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Resucitados,<2024,92.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Resucitados,2024,113.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Resucitados,2025,35.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Neto,<2024,30.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Neto,2024,162.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,Churn Neto,2025,254.00000000000,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto,<2024,0.13600891862,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto,2024,0.17650834403,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto,2025,0.21187683284,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto Act,,0.35897435897,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto Rec,<2024,0.13600891862,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2024,0.17650834403,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2025,0.17506874427,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Resurrected,<2024,0.01365187713,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Resurrected,2024,0.03765411529,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Resurrected,2025,0.07070707071,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Neto,<2024,0.03344481605,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Neto,2024,0.10397946085,Moderado
08-01-2025,06-01-2025,CL,PYME,Churn,% Churn Neto,2025,0.18621700880,Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion,Activacion,,"4,467,574,049.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion,Recurrencia,<2024,"17,349,538,395.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion,Recurrencia,2024,"23,991,475,539.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion,Recurrencia,2025,"10,739,024,647.00000000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion Prom,Activacion,,"15,299,911.12671230000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion Prom,Recurrencia,<2024,"27,759,261.43200000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion Prom,Recurrencia,2024,"26,106,066.96300330000",Moderado
08-01-2025,06-01-2025,CL,PYME,Originacion Prom,Recurrencia,2025,"17,838,911.37375420000",Moderado
08-01-2025,06-01-2025,CL,PYME,Term,,,42.84621272557,Moderado
08-01-2025,06-01-2025,CL,PYME,Term,Recurrencia,,42.86358142468,Moderado
08-01-2025,06-01-2025,CL,PYME,Term,Activacion,,42.64373986004,Moderado
08-01-2025,06-01-2025,CL,PYME,Term,Recurrencia,<2024,43.36009372646,Moderado
08-01-2025,06-01-2025,CL,PYME,Term,Recurrencia,2024,43.26666992389,Moderado
08-01-2025,06-01-2025,CL,PYME,Term,Recurrencia,2025,41.16091775518,Moderado
08-01-2025,06-01-2025,CL,PYME,Rate All In,,,0.01796096300,Moderado
08-01-2025,06-01-2025,CL,PYME,Rate All In,Recurrencia,,0.01769732435,Moderado
08-01-2025,06-01-2025,CL,PYME,Rate All In,Activacion,,0.02105013294,Moderado
08-01-2025,06-01-2025,CL,PYME,Rate All In,Recurrencia,<2024,0.01679193640,Moderado
08-01-2025,06-01-2025,CL,PYME,Rate All In,Recurrencia,2024,0.01717560994,Moderado
08-01-2025,06-01-2025,CL,PYME,Rate All In,Recurrencia,2025,0.02046334513,Moderado
08-01-2025,06-01-2025,CL,PYME,Int Rate,,,0.01423274620,Moderado
08-01-2025,06-01-2025,CL,PYME,Int Rate,Recurrencia,,0.01404844625,Moderado
08-01-2025,06-01-2025,CL,PYME,Int Rate,Activacion,,0.01639226963,Moderado
08-01-2025,06-01-2025,CL,PYME,Int Rate,Recurrencia,<2024,0.01347788276,Moderado
08-01-2025,06-01-2025,CL,PYME,Int Rate,Recurrencia,2024,0.01379256504,Moderado
08-01-2025,06-01-2025,CL,PYME,Int Rate,Recurrencia,2025,0.01562037079,Moderado
08-01-2025,06-01-2025,CL,PYME,AD Rate,,,0.00372821680,Moderado
08-01-2025,06-01-2025,CL,PYME,AD Rate,Recurrencia,,0.00364887810,Moderado
08-01-2025,06-01-2025,CL,PYME,AD Rate,Activacion,,0.00465786331,Moderado
08-01-2025,06-01-2025,CL,PYME,AD Rate,Recurrencia,<2024,0.00331405364,Moderado
08-01-2025,06-01-2025,CL,PYME,AD Rate,Recurrencia,2024,0.00338304490,Moderado
08-01-2025,06-01-2025,CL,PYME,AD Rate,Recurrencia,2025,0.00484297434,Moderado
08-01-2025,06-01-2025,CL,PYME,Fund Rate,,,0.00693090875,Moderado
08-01-2025,06-01-2025,CL,PYME,Fund Rate,Recurrencia,,0.00693122655,Moderado
08-01-2025,06-01-2025,CL,PYME,Fund Rate,Activacion,,0.00692718489,Moderado
08-01-2025,06-01-2025,CL,PYME,Fund Rate,Recurrencia,<2024,0.00688998799,Moderado
08-01-2025,06-01-2025,CL,PYME,Fund Rate,Recurrencia,2024,0.00695669218,Moderado
08-01-2025,06-01-2025,CL,PYME,Fund Rate,Recurrencia,2025,0.00694160763,Moderado
08-01-2025,06-01-2025,CL,PYME,Spread,,,0.01103005426,Moderado
08-01-2025,06-01-2025,CL,PYME,Spread,Recurrencia,,0.01076609780,Moderado
08-01-2025,06-01-2025,CL,PYME,Spread,Activacion,,0.01412294805,Moderado
08-01-2025,06-01-2025,CL,PYME,Spread,Recurrencia,<2024,0.00990194842,Moderado
08-01-2025,06-01-2025,CL,PYME,Spread,Recurrencia,2024,0.01021891776,Moderado
08-01-2025,06-01-2025,CL,PYME,Spread,Recurrencia,2025,0.01352173750,Moderado
08-01-2025,06-01-2025,CL,PYME,NTR,,,0.01575320170,Moderado
08-01-2025,06-01-2025,CL,PYME,NTR,Recurrencia,,0.01538245032,Moderado
08-01-2025,06-01-2025,CL,PYME,NTR,Activacion,,0.02007517742,Moderado
08-01-2025,06-01-2025,CL,PYME,NTR,Recurrencia,<2024,0.01431164705,Moderado
08-01-2025,06-01-2025,CL,PYME,NTR,Recurrencia,2024,0.01473795139,Moderado
08-01-2025,06-01-2025,CL,PYME,NTR,Recurrencia,2025,0.01855223751,Moderado
08-01-2025,06-01-2025,CL,PYME,Risk Rate,,,0.00243262629,Moderado
08-01-2025,06-01-2025,CL,PYME,Risk Rate,Recurrencia,,0.00234980479,Moderado
08-01-2025,06-01-2025,CL,PYME,Risk Rate,Activacion,,0.00340308219,Moderado
08-01-2025,06-01-2025,CL,PYME,Risk Rate,Recurrencia,<2024,0.00212769086,Moderado
08-01-2025,06-01-2025,CL,PYME,Risk Rate,Recurrencia,2024,0.00231863896,Moderado
08-01-2025,06-01-2025,CL,PYME,Risk Rate,Recurrencia,2025,0.00280100332,Moderado
08-01-2025,06-01-2025,CL,PYME,Interest Revenue,Activacion,,"104,098,597.68297900000",Moderado
08-01-2025,06-01-2025,CL,PYME,Interest Revenue,Recurrencia,<2024,"337,970,314.87015600000",Moderado
08-01-2025,06-01-2025,CL,PYME,Interest Revenue,Recurrencia,2024,"477,237,119.03055400000",Moderado
08-01-2025,06-01-2025,CL,PYME,Interest Revenue,Recurrencia,2025,"230,154,766.13712400000",Moderado
08-01-2025,06-01-2025,CL,PYME,AD Revenue,Activacion,,"29,579,615.85238160000",Moderado
08-01-2025,06-01-2025,CL,PYME,AD Revenue,Recurrencia,<2024,"83,102,945.11403860000",Moderado
08-01-2025,06-01-2025,CL,PYME,AD Revenue,Recurrencia,2024,"117,056,877.93625500000",Moderado
08-01-2025,06-01-2025,CL,PYME,AD Revenue,Recurrencia,2025,"71,357,693.16392320000",Moderado
08-01-2025,06-01-2025,CL,PYME,Gross Revenue,Activacion,,"133,678,213.53536000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Gross Revenue,Recurrencia,<2024,"421,073,259.98419500000",Moderado
08-01-2025,06-01-2025,CL,PYME,Gross Revenue,Recurrencia,2024,"594,293,996.96680900000",Moderado
08-01-2025,06-01-2025,CL,PYME,Gross Revenue,Recurrencia,2025,"301,512,459.30104700000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Fund,Activacion,,"43,990,871.87563080000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Fund,Recurrencia,<2024,"172,772,790.08060700000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Fund,Recurrencia,2024,"240,708,796.81127700000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Fund,Recurrencia,2025,"102,279,523.44870300000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Risk,Activacion,,"21,611,167.43491000000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Risk,Recurrencia,<2024,"53,353,806.64167590000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Risk,Recurrencia,2024,"80,227,323.43796170000",Moderado
08-01-2025,06-01-2025,CL,PYME,Cost of Risk,Recurrencia,2025,"41,270,740.08898860000",Moderado
08-01-2025,06-01-2025,CL,PYME,Margen Financiero,Activacion,,"89,687,341.65972960000",Moderado
08-01-2025,06-01-2025,CL,PYME,Margen Financiero,Recurrencia,<2024,"248,300,469.90358900000",Moderado
08-01-2025,06-01-2025,CL,PYME,Margen Financiero,Recurrencia,2024,"353,585,200.15553300000",Moderado
08-01-2025,06-01-2025,CL,PYME,Margen Financiero,Recurrencia,2025,"199,232,935.85234300000",Moderado
08-01-2025,06-01-2025,CL,PYME,Resultado Comercial,Activacion,,"68,076,174.22481970000",Moderado
08-01-2025,06-01-2025,CL,PYME,Resultado Comercial,Recurrencia,<2024,"194,946,663.26191300000",Moderado
08-01-2025,06-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2024,"273,357,876.71757100000",Moderado
08-01-2025,06-01-2025,CL,PYME,Resultado Comercial,Recurrencia,2025,"157,962,195.76335500000",Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Active,<2024,819.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Active,2024,"1,305.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Active,2025,"1,607.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,New Active,,376.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Old Active,<2024,819.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Old Active,2024,"1,305.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Old Active,2025,"1,231.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Old Operados,<2024,585.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Old Operados,2024,866.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Old Operados,2025,733.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,% OldOp/OldActive,<2024,0.71428571429,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2024,0.66360153257,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,% OldOp/OldActive,2025,0.59545085297,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Total Operados,<2024,585.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Total Operados,2024,866.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Clientes,Total Operados,2025,"1,109.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto,<2024,123.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto,2024,218.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto,2025,248.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Acum.,<2024,"6,817.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2024,"3,254.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Acum.,2025,919.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Act,,68.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Rec,<2024,123.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Rec,2024,218.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Bruto Rec,2025,180.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Resucitados,<2024,75.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Resucitados,2024,127.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Resucitados,2025,77.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Neto,<2024,48.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Neto,2024,91.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,Churn Neto,2025,171.00000000000,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto,<2024,0.14186851211,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto,2024,0.15616045845,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto,2025,0.17689015692,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto Act,,0.23287671233,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto Rec,<2024,0.14186851211,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2024,0.15616045845,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Bruto Rec,2025,0.16216216216,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Resurrected,<2024,0.01107992318,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Resurrected,2024,0.04015175466,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Resurrected,2025,0.10294117647,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Neto,<2024,0.05536332180,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Neto,2024,0.06518624642,Moderado
08-01-2025,07-01-2025,CL,PYME,Churn,% Churn Neto,2025,0.12196861626,Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion,Activacion,,"5,754,598,349.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion,Recurrencia,<2024,"16,214,507,960.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion,Recurrencia,2024,"24,181,368,662.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion,Recurrencia,2025,"13,606,039,215.00000000000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion Prom,Activacion,,"15,304,782.84308510000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion Prom,Recurrencia,<2024,"27,717,107.62393160000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion Prom,Recurrencia,2024,"27,923,058.50115470000",Moderado
08-01-2025,07-01-2025,CL,PYME,Originacion Prom,Recurrencia,2025,"18,562,127.16916780000",Moderado
08-01-2025,07-01-2025,CL,PYME,Term,,,41.28517309077,Moderado
08-01-2025,07-01-2025,CL,PYME,Term,Recurrencia,,40.86745527672,Moderado
08-01-2025,07-01-2025,CL,PYME,Term,Activacion,,45.20509258291,Moderado
08-01-2025,07-01-2025,CL,PYME,Term,Recurrencia,<2024,40.96061261461,Moderado
08-01-2025,07-01-2025,CL,PYME,Term,Recurrencia,2024,39.92104371160,Moderado
08-01-2025,07-01-2025,CL,PYME,Term,Recurrencia,2025,42.43845079040,Moderado
08-01-2025,07-01-2025,CL,PYME,Rate All In,,,0.01813247335,Moderado
08-01-2025,07-01-2025,CL,PYME,Rate All In,Recurrencia,,0.01800848628,Moderado
08-01-2025,07-01-2025,CL,PYME,Rate All In,Activacion,,0.01918434026,Moderado
08-01-2025,07-01-2025,CL,PYME,Rate All In,Recurrencia,<2024,0.01719959282,Moderado
08-01-2025,07-01-2025,CL,PYME,Rate All In,Recurrencia,2024,0.01742536697,Moderado
08-01-2025,07-01-2025,CL,PYME,Rate All In,Recurrencia,2025,0.01991376258,Moderado
08-01-2025,07-01-2025,CL,PYME,Int Rate,,,0.01425511215,Moderado
08-01-2025,07-01-2025,CL,PYME,Int Rate,Recurrencia,,0.01416058491,Moderado
08-01-2025,07-01-2025,CL,PYME,Int Rate,Activacion,,0.01505705126,Moderado
08-01-2025,07-01-2025,CL,PYME,Int Rate,Recurrencia,<2024,0.01365845231,Moderado
08-01-2025,07-01-2025,CL,PYME,Int Rate,Recurrencia,2024,0.01379617200,Moderado
08-01-2025,07-01-2025,CL,PYME,Int Rate,Recurrencia,2025,0.01534738089,Moderado
08-01-2025,07-01-2025,CL,PYME,AD Rate,,,0.00387736120,Moderado
08-01-2025,07-01-2025,CL,PYME,AD Rate,Recurrencia,,0.00384790137,Moderado
08-01-2025,07-01-2025,CL,PYME,AD Rate,Activacion,,0.00412728899,Moderado
08-01-2025,07-01-2025,CL,PYME,AD Rate,Recurrencia,<2024,0.00354114052,Moderado
08-01-2025,07-01-2025,CL,PYME,AD Rate,Recurrencia,2024,0.00362919497,Moderado
08-01-2025,07-01-2025,CL,PYME,AD Rate,Recurrencia,2025,0.00456638169,Moderado
08-01-2025,07-01-2025,CL,PYME,Fund Rate,,,0.00692764990,Moderado
08-01-2025,07-01-2025,CL,PYME,Fund Rate,Recurrencia,,0.00692855141,Moderado
08-01-2025,07-01-2025,CL,PYME,Fund Rate,Activacion,,0.00692000178,Moderado
08-01-2025,07-01-2025,CL,PYME,Fund Rate,Recurrencia,<2024,0.00695502159,Moderado
08-01-2025,07-01-2025,CL,PYME,Fund Rate,Recurrencia,2024,0.00689229913,Moderado
08-01-2025,07-01-2025,CL,PYME,Fund Rate,Recurrencia,2025,0.00695871258,Moderado
08-01-2025,07-01-2025,CL,PYME,Spread,,,0.01120482345,Moderado
08-01-2025,07-01-2025,CL,PYME,Spread,Recurrencia,,0.01107993486,Moderado
08-01-2025,07-01-2025,CL,PYME,Spread,Activacion,,0.01226433847,Moderado
08-01-2025,07-01-2025,CL,PYME,Spread,Recurrencia,<2024,0.01024457123,Moderado
08-01-2025,07-01-2025,CL,PYME,Spread,Recurrencia,2024,0.01053306783,Moderado
08-01-2025,07-01-2025,CL,PYME,Spread,Recurrencia,2025,0.01295505000,Moderado
08-01-2025,07-01-2025,CL,PYME,NTR,,,0.01541976918,Moderado
08-01-2025,07-01-2025,CL,PYME,NTR,Recurrencia,,0.01509362475,Moderado
08-01-2025,07-01-2025,CL,PYME,NTR,Activacion,,0.01848035187,Moderado
08-01-2025,07-01-2025,CL,PYME,NTR,Recurrencia,<2024,0.01398746379,Moderado
08-01-2025,07-01-2025,CL,PYME,NTR,Recurrencia,2024,0.01401636871,Moderado
08-01-2025,07-01-2025,CL,PYME,NTR,Recurrencia,2025,0.01832640840,Moderado
08-01-2025,07-01-2025,CL,PYME,Risk Rate,,,0.00244379160,Moderado
08-01-2025,07-01-2025,CL,PYME,Risk Rate,Recurrencia,,0.00239977192,Moderado
08-01-2025,07-01-2025,CL,PYME,Risk Rate,Activacion,,0.00281724061,Moderado
08-01-2025,07-01-2025,CL,PYME,Risk Rate,Recurrencia,<2024,0.00200304316,Moderado
08-01-2025,07-01-2025,CL,PYME,Risk Rate,Recurrencia,2024,0.00250094448,Moderado
08-01-2025,07-01-2025,CL,PYME,Risk Rate,Recurrencia,2025,0.00268695213,Moderado
